"ASV" "REFf" "PSf" "REFr" "PSr"
"184" "184" "17_22" "228" "17" "177"
"185" "185" "25" "209" "2_3" "138"
"186" "186" "7" "225" "8" "180"
"187" "187" "24" "214" "28" "170"
"188" "188" "1" "219" "7_9" "150"
"189" "189" "6_12" "224" "6_7_9_14_18_22" "152"
"190" "190" "28_29" "208" "12" "180"
"191" "191" "28" "222" "14" "149"
"192" "192" "1" "221" "20" "174"
"193" "193" "1" "221" "1" "170"
"194" "194" "24_29" "207" "29" "146"
"195" "195" "8" "230" "26" "69"
"196" "196" "6_14" "227" "7" "175"
"197" "197" "7" "219" "28" "167"
"198" "198" "21" "218" "14" "163"
"199" "199" "21" "218" "1" "149"
"200" "200" "11" "228" "7" "173"
"201" "201" "29" "221" "28" "168"
"202" "202" "7_21" "229" "26" "69"
"203" "203" "1" "221" "1" "144"
"204" "204" "27" "217" "26" "152"
"205" "205" "7" "230" "28" "159"
"206" "206" "28" "212" "1" "170"
"207" "207" "7" "219" "1" "166"
"208" "208" "1" "221" "2_3" "138"
"209" "209" "5_7_8_20_21_23" "214" "1" "163"
"210" "210" "5_7_8_20_21_23" "214" "28" "152"
"211" "211" "17" "229" "26" "69"
"212" "212" "1_2" "213" "1" "94"
"213" "213" "1" "221" "28" "162"
"214" "214" "14" "221" "25_28" "152"
"215" "215" "28" "222" "28" "146"
"216" "216" "7" "227" "26_27" "149"
"217" "217" "19" "221" "9" "161"
"218" "218" "1" "221" "28" "155"
"219" "219" "3" "227" "3" "131"
"220" "220" "8" "230" "1" "165"
"221" "221" "17" "223" "17" "178"
"222" "222" "29" "210" "1" "164"
"223" "223" "1" "221" "29" "164"
"224" "224" "11" "230" "26" "69"
"225" "225" "29" "211" "17" "174"
"226" "226" "1" "222" "28" "167"
"227" "227" "2_7" "214" "14" "180"
"228" "228" "11" "228" "7_9_14" "152"
"229" "229" "27" "209" "16" "180"
"230" "230" "27" "217" "26" "154"
"231" "231" "7" "230" "25" "150"
"232" "232" "5_20" "228" "3" "176"
"233" "233" "1" "217" "12" "180"
"234" "234" "28" "211" "25" "150"
"235" "235" "19" "228" "9" "132"
"236" "236" "7" "219" "8" "147"
"237" "237" "28" "219" "26" "146"
"238" "238" "1" "217" "29" "178"
"239" "239" "17" "230" "8_10_23" "61"
"240" "240" "28" "219" "7" "176"
"241" "241" "27" "215" "25" "160"
"242" "242" "29" "210" "28" "139"
"243" "243" "7" "229" "17" "174"
