Name_in_phyllo	Name_in_pdist	Name_in_fasta	STRAIN	Genus	Species	ENVIRONMENT	Clade-ref
E_037	E-037	E-037	E-037	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_039	E-039	E-039	E-039	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_040	E-040	E-040	E-040	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_041	E-041	E-041	E-041	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_042	E-042	E-042	E-042	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_045	E-045	E-045	E-045	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_046	E-046	E-046	E-046	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_047	E-047	E-047	E-047	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_048	E-048	E-048	E-048	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_061	E-061	E-061	E-061	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_062	E-062	E-062	E-062	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_063	E-063	E-063	E-063	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_064	E-064	E-064	E-064	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_065	E-065	E-065	E-065	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_066	E-066	E-066	E-066	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_101	E-101	E-101	E-101	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_102	E-102	E-102	E-102	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_103	E-103	E-103	E-103	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_104	E-104	E-104	E-104	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_105	E-105	E-105	E-105	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_106	E-106	E-106	E-106	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_107	E-107	E-107	E-107	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_109	E-109	E-109	E-109	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_112	E-112	E-112	E-112	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_114	E-114	E-114	E-114	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_115	E-115	E-115	E-115	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_116	E-116	E-116	E-116	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_119	E-119	E-119	E-119	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_120	E-120	E-120	E-120	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_121	E-121	E-121	E-121	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_123	E-123	E-123	E-123	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_124	E-124	E-124	E-124	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_125	E-125	E-125	E-125	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_126	E-126	E-126	E-126	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_127	E-127	E-127	E-127	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_128	E-128	E-128	E-128	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_129	E-129	E-129	E-129	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_130	E-130	E-130	E-130	Methylobacterium	sp.	PHYLLOSPHERE	NA
E_132	E-132	E-132	E-132	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_001	J-001	J-001	J-001	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_002	J-002	J-002	J-002	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_003	J-003	J-003	J-003	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_005	J-005	J-005	J-005	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_008	J-008	J-008	J-008	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_009	J-009	J-009	J-009	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_010	J-010	J-010	J-010	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_011	J-011	J-011	J-011	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_014	J-014	J-014	J-014	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_015	J-015	J-015	J-015	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_017	J-017	J-017	J-017	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_018	J-018	J-018	J-018	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_019	J-019	J-019	J-019	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_021	J-021	J-021	J-021	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_022	J-022	J-022	J-022	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_026	J-026	J-026	J-026	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_028	J-028	J-028	J-028	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_029	J-029	J-029	J-029	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_030	J-030	J-030	J-030	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_031	J-031	J-031	J-031	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_033	J-033	J-033	J-033	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_036	J-036	J-036	J-036	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_037	J-037	J-037	J-037	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_043	J-043	J-043	J-043	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_045	J-045	J-045	J-045	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_047	J-047	J-047	J-047	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_048	J-048	J-048	J-048	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_049	J-049	J-049	J-049	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_050	J-050	J-050	J-050	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_051	J-051	J-051	J-051	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_052	J-052	J-052	J-052	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_054	J-054	J-054	J-054	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_056	J-056	J-056	J-056	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_057	J-057	J-057	J-057	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_059	J-059	J-059	J-059	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_062	J-062	J-062	J-062	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_064	J-064	J-064	J-064	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_065	J-065	J-065	J-065	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_066	J-066	J-066	J-066	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_067	J-067	J-067	J-067	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_068	J-068	J-068	J-068	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_070	J-070	J-070	J-070	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_072	J-072	J-072	J-072	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_073	J-073	J-073	J-073	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_074	J-074	J-074	J-074	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_075	J-075	J-075	J-075	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_076	J-076	J-076	J-076	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_077	J-077	J-077	J-077	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_078	J-078	J-078	J-078	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_082	J-082	J-082	J-082	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_083	J-083	J-083	J-083	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_084	J-084	J-084	J-084	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_085	J-085	J-085	J-085	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_086	J-086	J-086	J-086	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_087	J-087	J-087	J-087	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_088	J-088	J-088	J-088	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_089	J-089	J-089	J-089	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_090	J-090	J-090	J-090	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_092	J-092	J-092	J-092	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_093	J-093	J-093	J-093	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_103	J-103	J-103	J-103	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_104	J-104	J-104	J-104	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_105	J-105	J-105	J-105	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_106	J-106	J-106	J-106	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_107	J-107	J-107	J-107	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_108	J-108	J-108	J-108	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_111	J-111	J-111	J-111	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_112	J-112	J-112	J-112	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_113	J-113	J-113	J-113	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_115	J-115	J-115	J-115	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_116	J-116	J-116	J-116	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_117	J-117	J-117	J-117	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_118	J-118	J-118	J-118	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_120	J-120	J-120	J-120	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_121	J-121	J-121	J-121	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_122	J-122	J-122	J-122	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_123	J-123	J-123	J-123	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_124	J-124	J-124	J-124	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_125	J-125	J-125	J-125	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_127	J-127	J-127	J-127	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_128	J-128	J-128	J-128	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_130	J-130	J-130	J-130	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_131	J-131	J-131	J-131	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_132	J-132	J-132	J-132	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_133	J-133	J-133	J-133	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_134	J-134	J-134	J-134	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_135	J-135	J-135	J-135	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_136	J-136	J-136	J-136	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_137	J-137	J-137	J-137	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_138	J-138	J-138	J-138	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_139	J-139	J-139	J-139	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_141	J-141	J-141	J-141	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_142	J-142	J-142	J-142	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_146	J-146	J-146	J-146	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_147	J-147	J-147	J-147	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_148	J-148	J-148	J-148	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_150	J-150	J-150	J-150	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_152	J-152	J-152	J-152	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_153	J-153	J-153	J-153	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_156	J-156	J-156	J-156	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_158	J-158	J-158	J-158	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_160	J-160	J-160	J-160	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_162	J-162	J-162	J-162	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_163	J-163	J-163	J-163	Methylobacterium	sp.	PHYLLOSPHERE	NA
J_164	J-164	J-164	J-164	Methylobacterium	sp.	PHYLLOSPHERE	NA
LYS027	LYS027	LYS027	LYS027	Methylobacterium	sp.	PHYLLOSPHERE	A1
LYS037	LYS037	LYS037	LYS037	Methylobacterium	sp.	PHYLLOSPHERE	A6
LYS051	LYS051	LYS051	LYS051	Methylobacterium	sp.	PHYLLOSPHERE	A1
LYS069	LYS069	LYS069	LYS069	Methylobacterium	sp.	PHYLLOSPHERE	A2
LYS072	LYS072	LYS072	LYS072	Methylobacterium	sp.	PHYLLOSPHERE	A9
LYS080	LYS080	LYS080	LYS080	Methylobacterium	sp.	PHYLLOSPHERE	A9
LYS083	LYS083	LYS083	LYS083	Methylobacterium	sp.	PHYLLOSPHERE	A1
LYS093	LYS093	LYS093	LYS093	Methylobacterium	sp.	PHYLLOSPHERE	A2
NC_010172_1_4460537_4464705_Methylorubrum_extorquens_PA1_complete_sequence	NC_010172.1:4460537-4464705_Methylorubrum_extorquens_PA1_complete_sequence	NC_010172.1:4460537-4464705	PA1	Methylobacterium	extorquens	PHYLLOSPHERE	B
NC_010505_1_4087386_4091511_Methylobacterium_radiotolerans_JCM_2831_complete_sequence	NC_010505.1:4087386-4091511_Methylobacterium_radiotolerans_JCM_2831_complete_sequence	NC_010505.1:4087386-4091511	JCM2831	Methylobacterium	radiotolerans	SEED	A9
NC_010511_1_432405_436560_Methylobacterium_sp__4_46_complete_sequence	NC_010511.1:432405-436560_Methylobacterium_sp._4-46_complete_sequence	NC_010511.1:432405-436560	4-46	Methylobacterium	sp.	RHIZHOSPHERE	C
NC_010725_1_4794013_4798172_Methylorubrum_populi_BJ001_complete_sequence	NC_010725.1:4794013-4798172_Methylorubrum_populi_BJ001_complete_sequence	NC_010725.1:4794013-4798172	BJ001	Methylobacterium	populi	ENDOPHYTE	B
NC_011757_1_4630686_4634854_Methylorubrum_extorquens_CM4_complete_sequence	NC_011757.1:4630686-4634854_Methylorubrum_extorquens_CM4_complete_sequence	NC_011757.1:4630686-4634854	CM4	Methylobacterium	extorquens	ANTHROPO/SOIL	B
NC_011894_1_2000606_2004765_Methylobacterium_nodulans_ORS_2060_complete_genome	NC_011894.1:2000606-2004765_Methylobacterium_nodulans_ORS_2060_complete_genome	NC_011894.1:2000606-2004765	ORS2060	Methylobacterium	nodulans	RHIZHOSPHERE	C
NC_012808_1_4495122_4499290_Methylorubrum_extorquens_AM1_complete_sequence	NC_012808.1:4495122-4499290_Methylorubrum_extorquens_AM1_complete_sequence	NC_012808.1:4495122-4499290	AM1	Methylobacterium	sp.	PHYLLOSPHERE	B
NC_012988_1_4910194_4914362_Methylorubrum_extorquens_AM1_complete_genome	NC_012988.1_Methylobacterium_extorquens_DM4	NC_012988.1:4910194-4914362	DM4-2	Methylobacterium	extorquens	ANTHROPO/WATER	B
NC_012988_1_Methylobacterium_extorquens_DM4	NC_012988.1:4910194-4914362_Methylorubrum_extorquens_AM1_complete_genome	NC_012988.1_Methylobacterium_extorquens	DM4-1	Methylobacterium	extorquens	ANTHROPO/WATER	B
NZ_AGJK01000015_1_25037_29205_Methylorubrum_extorquens_DSM_13060_ctg1169_whole_genome_shotgun_se	NZ_AGJK01000015.1:25037-29205_Methylorubrum_extorquens_DSM_13060_ctg1169_whole_genome_shotgun_sequence	NZ_AGJK01000015.1:25037-29205	DSM13060	Methylobacterium	extorquens	PHYLLOSPHERE	B
NZ_AKFK01000075_1_70974_75100_Methylobacterium_sp__GXF4_contig78_whole_genome_shotgun_sequence	NZ_AKFK01000075.1:70974-75100_Methylobacterium_sp._GXF4_contig78_whole_genome_shotgun_sequence	NZ_AKFK01000075.1:70974-75100	GXF4	Methylobacterium	sp.	ENDOPHYTE	A9
NZ_AP014704_1_5228704_5232825_Methylobacterium_aquaticum_strain_MA_22A	NZ_AP014704.1:5228704-5232825_Methylobacterium_aquaticum_strain_MA-22A	NZ_AP014704.1:5228704-5232825	MA-22A	Methylobacterium	aquaticum	PHYLLOSPHERE	C
NZ_AP014809_1_4645912_4650073_Methylorubrum_populi_strain_P_1M	NZ_AP014809.1:4645912-4650073_Methylorubrum_populi_strain_P-1M	NZ_AP014809.1:4645912-4650073	P-1M	Methylobacterium	populi	ANTHROPO/WATER	B
NZ_AQVT01000001_1_2744150_2748308_Methylobacterium_sp__88A_A3OMDRAFT_contig1_1_C_whole_genome_sh	NZ_AQVT01000001.1:2744150-2748308_Methylobacterium_sp._88A_A3OMDRAFT_contig1.1_C_whole_genome_shotgun_sequence	NZ_AQVT01000001.1:2744150-2748308	88A	Methylobacterium	sp.	WATER	A2
NZ_BACT01000245_1_17571_21696_Methylobacterium_sp__B1_whole_genome_shotgun_sequence	NZ_BACT01000245.1:17571-21696_Methylobacterium_sp._B1_whole_genome_shotgun_sequence	NZ_BACT01000245.1:17571-21696	B1	Methylobacterium	sp.	PHYLLOSPHERE	A9
NZ_BADE01000084_1_5535_9660_Methylobacterium_sp__B34_whole_genome_shotgun_sequence	NZ_BADE01000084.1:5535-9660_Methylobacterium_sp._B34_whole_genome_shotgun_sequence	NZ_BADE01000084.1:5535-9660	B34	Methylobacterium	sp.	PHYLLOSPHERE	A9
NZ_BJVP01000003_1_322489_326657_Methylorubrum_extorquens_strain_NBRC_15911_sequence03_whole_geno	NZ_BJVP01000003.1:322489-326657_Methylorubrum_extorquens_strain_NBRC_15911_sequence03_whole_genome_shotgun_sequence	NZ_BJVP01000003.1:322489-326657	NBRC15911	Methylobacterium	extorquens	ANTHROPO	B
NZ_BJXP01000063_1_6383_10508_Methylobacterium_radiotolerans_strain_NBRC_15690_sequence063_whole	NZ_BJXP01000063.1:6383-10508_Methylobacterium_radiotolerans_strain_NBRC_15690_sequence063_whole_genome_shotgun_sequence	NZ_BJXP01000063.1:6383-10508	NBRC15690	Methylobacterium	radiotolerans	SEED	A9
NZ_BJYU01000138_1_4118_8214_Microvirga_aerophila_strain_NBRC_106136_sequence138_whole_genome_sho	NZ_BJYU01000138.1:4118-8214_Microvirga_aerophila_strain_NBRC_106136_sequence138_whole_genome_shotgun_sequence	NZ_BJYU01000138.1:4118-8214	NBRC106136	Microvirga	aerophila	-	Microvirga
NZ_BJZT01000026_1_7958_12110_Methylobacterium_haplocladii_strain_NBRC_107714_sequence026_whole_g	NZ_BJZT01000026.1:7958-12110_Methylobacterium_haplocladii_strain_NBRC_107714_sequence026_whole_genome_shotgun_sequence	NZ_BJZT01000026.1:7958-12110	NBRC107714	Methylobacterium	haplocladii	PHYLLOSPHERE	A4
NZ_BJZU01000148_1_7985_12147_Methylobacterium_oxalidis_strain_NBRC_107715_sequence148_whole_geno	NZ_BJZU01000148.1:7985-12147_Methylobacterium_oxalidis_strain_NBRC_107715_sequence148_whole_genome_shotgun_sequence	NZ_BJZU01000148.1:7985-12147	NBRC107715	Methylobacterium	oxalidis	PHYLLOSPHERE	A5a
NZ_BJZV01000018_1_7974_12126_Methylobacterium_gnaphalii_strain_NBRC_107716_sequence018_whole_gen	NZ_BJZV01000018.1:7974-12126_Methylobacterium_gnaphalii_strain_NBRC_107716_sequence018_whole_genome_shotgun_sequence	NZ_BJZV01000018.1:7974-12126	NBRC107716	Methylobacterium	gnaphalii	PHYLLOSPHERE	A4
NZ_CABFPH010000026_1_6274_10429_Methylobacterium_symbioticum_strain_SB0023_3_whole_genome_shotgu	NZ_CABFPH010000026.1:6274-10429_Methylobacterium_symbioticum_strain_SB0023/3_whole_genome_shotgun_sequence	NZ_CABFPH010000026.1:6274-10429	SB0023/3	Methylobacterium	sp.	LICHEN-FUNGI	A8
NZ_CABFVH010000028_1_7718_11873_Methylobacterium_dankookense_strain_SW08_7_whole_genome_shotgun	NZ_CABFVH010000028.1:7718-11873_Methylobacterium_dankookense_strain_SW08-7_whole_genome_shotgun_sequence	NZ_CABFVH010000028.1:7718-11873	SW08-7	Methylobacterium	dankookense	ANTHROPO/WATER	A8
NZ_CABMGP010000006_1_360894_364988_Microvirga_massiliensis_isolate_MGYG_HGUT_02310_whole_genome	NZ_CABMGP010000006.1:360894-364988_Microvirga_massiliensis_isolate_MGYG-HGUT-02310_whole_genome_shotgun_sequence	NZ_CABMGP010000006.1:360894-364988	MGYG-HGUT-02310	Microvirga	massiliensis	-	Microvirga
NZ_CAHM01000003_1_4015_8109_Microvirga_massiliensis_isolate_JC119_whole_genome_shotgun_sequence	NZ_CAHM01000003.1:4015-8109_Microvirga_massiliensis_isolate_JC119_whole_genome_shotgun_sequence	NZ_CAHM01000003.1:4015-8109	JC119-1	Microvirga	massiliensis	-	Microvirga
NZ_CAJCKR010000029_1_68313_72438_Methylobacterium_radiotolerans_strain_ME94_whole_genome_shotgun	NZ_CAJCKR010000029.1:68313-72438_Methylobacterium_radiotolerans_strain_ME94_whole_genome_shotgun_sequence	NZ_CAJCKR010000029.1:68313-72438	ME94	Methylobacterium	radiotolerans	ENDOPHYTE	A9
NZ_CP003811_1_4399362_4403487_Methylobacterium_oryzae_CBMB20_chromosome_complete_genome	NZ_CP003811.1:4399362-4403487_Methylobacterium_oryzae_CBMB20_chromosome_complete_genome	NZ_CP003811.1:4399362-4403487	CBMB20	Methylobacterium	oryzae	PHYLLOSPHERE	A9
NZ_CP006992_1_4305990_4310158_Methylobacterium_sp__AMS5_chromosome_complete_genome	NZ_CP006992.1:4305990-4310158_Methylobacterium_sp._AMS5_chromosome_complete_genome	NZ_CP006992.1:4305990-4310158	AMS5	Methylobacterium	sp.	PHYLLOSPHERE	B
NZ_CP015367_1_3536090_3540215_Methylobacterium_phyllosphaerae_strain_CBMB27_chromosome_complete	NZ_CP015367.1:3536090-3540215_Methylobacterium_phyllosphaerae_strain_CBMB27_chromosome_complete_genome	NZ_CP015367.1:3536090-3540215	CBMB27-1	Methylobacterium	phyllosphaerae	PHYLLOSPHERE	A9
NZ_CP016429_1_2689972_2694097_Methylobacterium_sp__XJLW_chromosome_complete_genome	NZ_CP016429.1:2689972-2694097_Methylobacterium_sp._XJLW_chromosome_complete_genome	NZ_CP016429.1:2689972-2694097	XJLW	Methylobacterium	sp.	ANTHROPO/WATER	A9
NZ_CP016616_1_4419683_4423793_Microvirga_ossetica_strain_V5_3m_chromosome_complete_genome	NZ_CP016616.1:4419683-4423793_Microvirga_ossetica_strain_V5/3m_chromosome_complete_genome	NZ_CP016616.1:4419683-4423793	V5/3m	Microvirga	ossetica	-	Microvirga
NZ_CP017640_1_4383675_4387800_Methylobacterium_sp__C1_chromosome_complete_genome	NZ_CP017640.1:4383675-4387800_Methylobacterium_sp._C1_chromosome_complete_genome	NZ_CP017640.1:4383675-4387800	C1	Methylobacterium	sp.	ANTHROPO/WATER	A9
NZ_CP019322_1_2637712_2641880_Methylorubrum_extorquens_strain_PSBB040_chromosome_complete_genome	NZ_CP019322.1:2637712-2641880_Methylorubrum_extorquens_strain_PSBB040_chromosome_complete_genome	NZ_CP019322.1:2637712-2641880	PSBB040	Methylobacterium	extorquens	WATER	B
NZ_CP021054_1_435037_439205_Methylorubrum_zatmanii_strain_PSBB041_chromosome_complete_genome	NZ_CP021054.1:435037-439205_Methylorubrum_zatmanii_strain_PSBB041_chromosome_complete_genome	NZ_CP021054.1:435037-439205	PSBB041	Methylobacterium	zatmanii	WATER	B
NZ_CP028843_1_2973917_2978038_Methylobacterium_currus_strain_PR1016A_chromosome_1	NZ_CP028843.1:2973917-2978038_Methylobacterium_currus_strain_PR1016A_chromosome_1	NZ_CP028843.1:2973917-2978038	PR1016A	Methylobacterium	currus	ANTHROPO	C
NZ_CP029173_1_Methylobacterium_sp__DM1	NZ_CP029173.1_Methylobacterium_sp._DM1	NZ_CP029173.1_Methylobacterium_sp.	DM1	Methylobacterium	sp.	ANTHROPO	B
NZ_CP029481_1_1695689_1699785_Microvirga_sp__17_mud_1_3_chromosome_complete_genome	NZ_CP029481.1:1695689-1699785_Microvirga_sp._17_mud_1-3_chromosome_complete_genome	NZ_CP029481.1:1695689-1699785	17mud1-3	Microvirga	sp.	-	Microvirga
NZ_CP029550_1_6606085_6610247_Methylobacterium_durans_strain_17SD2_17_chromosome_complete_genome	NZ_CP029550.1:6606085-6610247_Methylobacterium_durans_strain_17SD2-17_chromosome_complete_genome	NZ_CP029550.1:6606085-6610247	17SD2-17	Methylobacterium	sp.	ANTHROPO/SOIL	A5a
