Phyllo_order	TipLabel	STRAIN	FILE	Genus	Species	ENVIRONMENT	Clade
96	NZLMQK01000002.1	Leaf399	GCF_001424525.1_Leaf399_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A3
97	NZVRVC01000093.1	WL19	GCF_008040005.1_ASM804000v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
98	NZLMMS01000016.1	Leaf93	GCF_001422345.1_Leaf93_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
99	NZLMME01000021.1	Leaf85	GCF_001422125.1_Leaf85_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
100	NZLMNB01000014.1	Leaf106	GCF_001422895.1_Leaf106_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
101	NZAQVT01000001.1	88A	GCF_000376345.1_ASM37634v1_genomic.fna.gz	Methylobacterium	sp.	WATER	A2
102	NZKI912577.1	10	GCF_000519085.1_ASM51908v1_genomic.fna.gz	Methylobacterium	sp.	WATER	A2
103	NZLMMP01000021.1	Leaf91	GCF_001422815.1_Leaf91_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
104	NZLMMG01000019.1	Leaf86	GCF_001422165.1_ASM142216v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A2
105	NZKB910516.1	77	GCF_000372825.1_ASM37282v1_genomic.fna.gz	Methylobacterium	sp.	WATER	A2
106	NZLMMX01000020.1	Leaf102	GCF_001422425.1_Leaf102_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
107	NZLMRE01000020.1	Leaf469	GCF_001424745.1_Leaf469_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
108	NZLMNG01000020.1	Leaf112	GCF_001423295.1_Leaf112_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
109	NZLMMI01000032.1	Leaf87	GCF_001422775.1_Leaf87_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
110	NZLMMW01000022.1	Leaf100	GCF_001422845.1_Leaf100_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
111	NZLMMU01000005.1	Leaf99	GCF_001422375.1_Leaf99_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
112	NZVRUZ01000027.1	WL69	GCF_008039485.1_ASM803948v1_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
113	NZFOPM01000039.1	Gh-105	GCF_900113485.1_IMG-taxon_2651870128_annotated_assembly_genomic.fna.gz	Methylobacterium	gossipiicola	PHYLLOSPHERE	A1
114	NZJAAHTB010000003.1	BTF04	NEW-blast	Methylobacterium	sp.	WATER	A1
115	NZLMNJ01000011.1	Leaf113	GCF_001423325.1_Leaf113_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
116	NZLMNL01000018.1	Leaf117	GCF_001422985.1_Leaf117_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
117	NZQAYK01000010.1	GV104	GCF_003053915.1_ASM305391v1_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	A1
118	NZQJTP01000010.1	GV094	GCF_003217615.1_ASM321761v1_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	A1
119	NZLMNU01000021.1	Leaf125	GCF_001423085.1_Leaf125_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
120	NZPDHT01000013.1	V23	GCF_002917135.1_ASM291713v1_genomic.fna.gz	Methylobacterium	sp.	WATER	A1
121	NZLMMZ01000017.1	Leaf104	GCF_001422885.1_Leaf104_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
122	NZLMNE01000029.1	Leaf111	GCF_001423285.1_Leaf111_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
123	NZLMRM01000033.1	Leaf94	GCF_001426045.1_Leaf94_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
124	NZLMMK01000043.1	Leaf88	GCF_001422795.1_Leaf88_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
125	NZLMML01000024.1	Leaf89	GCF_001422215.1_Leaf89_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
126	NZLMRA01000018.1	Leaf465	GCF_001424705.1_Leaf465_genomic.fna.gz	Methylobacterium	sp.	PHYLLOSPHERE	A1
127	NZVZZJ01000047.1	YIM132548	GCF_008806345.1_ASM880634v1_genomic.fna.gz	Methylobacterium	sp.	LICHEN-FUNGI	A5
128	NZVZZK01000063.1	YIM48816	GCF_008806385.1_ASM880638v1_genomic.fna.gz	Methylobacterium	soli	SOIL	A5
129	NZBJZU01000148.1	NBRC107715	GCF_007992195.1_ASM799219v1_genomic.fna.gz	Methylobacterium	oxalidis	PHYLLOSPHERE	A5
130	NZCP029550.1	17SD2-17	GCF_003173715.1_ASM317371v1_genomic.fna.gz	Methylobacterium	durans	ANTHROPO/SOIL	A5
131	NZSMNT01000106.1	17J42-1	GCF_004348265.1_ASM434826v1_genomic.fna.gz	Methylobacterium	segetis	SOIL	A5
132	NZSACP01000004.1	TER-1	GCF_004004555.2_ASM400455v2_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/WATER	C
133	NZKB900609.1	WSM2598	GCF_000379105.1_ASM37910v1_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	C
134	NC010511.1	4-46	GCF_000019365.1_ASM1936v1_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	C
135	NC011894.1	ORS2060	GCF_000022085.1_ASM2208v1_genomic.fna.gz	Methylobacterium	nodulans	RHIZHOSPHERE	C
136	NZQOWC01000157.1	MIMD6	GCF_003574465.1_ASM357446v1_genomic.fna.gz	Methylobacterium	crusticola	SOIL	C
137	NZSRLB01000011.1	6HR-1	GCF_004745635.1_ASM474563v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/SOIL	C
138	NZLABY01000252.1	DSM16961	GCF_001043975.1_ASM104397v1_genomic.fna.gz	Methylobacterium	variabile	ANTHROPO/WATER	C
139	NZCP028843.1	PR1016A	GCF_003058325.1_ASM305832v1_genomic.fna.gz	Methylobacterium	currus	ANTHROPO	C
140	NZLABX01000003.1	DSM16371	GCF_001043915.1_ASM104391v1_genomic.fna.gz	Methylobacterium	aquaticum	ANTHROPO/WATER	C
141	NZLABZ01000061.1	DSM25844	GCF_001043955.1_ASM104395v1_genomic.fna.gz	Methylobacterium	tarhaniae	SOIL	C
142	NZCP029552.1	17Sr1-1	GCF_003173775.1_ASM317377v1_genomic.fna.gz	Methylobacterium	sp.	SOIL	C
143	NZFPCB01000067.1	174MFSha1.1	GCF_900116815.1_IMG-taxon_2590828856_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	PLANT	C
144	NZVDDA01000004.1	17Sr1-39	GCF_006151805.1_ASM615180v1_genomic.fna.gz	Methylobacterium	sp.	SOIL	C
145	NZJAAKGV010000048.1	DB0501	NEW-blast	Methylobacterium	sp.	ANTHROPO	C
146	NZJXOD01000161.1	JCM14648	GCF_001043885.1_ASM104388v1_genomic.fna.gz	Methylobacterium	platani	PHYLLOSPHERE	C
147	NZLWHQ01000087.1	PMB02	GCF_001653715.1_ASM165371v1_genomic.fna.gz	Methylobacterium	platani	PHYLLOSPHERE	C
148	NZCP029553.1	17Sr1-28	GCF_003173755.1_ASM317375v1_genomic.fna.gz	Methylobacterium	sp.	ANTHROPO/SOIL	C
149	NZFONO01000007.1	yr596	GCF_900112945.1_IMG-taxon_2615840644_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	C
150	NZAP014704.1	MA-22A	GCF_001548015.1_ASM154801v1_genomic.fna.gz	Methylobacterium	aquaticum	PHYLLOSPHERE	C
151	NZFOEB01000013.1	ap11	GCF_900110515.1_IMG-taxon_2609459615_annotated_assembly_genomic.fna.gz	Methylobacterium	sp.	RHIZHOSPHERE	C
152	NZJTHG01000082.1	SE3.6	GCF_001043875.1_ASM104387v1_genomic.fna.gz	Methylobacterium	platani	SEED	C
153	NZJTHF01000175.1	SE2.11	GCF_001043895.1_ASM104389v1_genomic.fna.gz	Methylobacterium	platani	SEED	C
154	NZLDRN01000059.1	NS230	GCF_001477085.1_ASM147708v1_genomic.fna.gz	Methylobacterium	indicum	SEED	C
155	NZLDRM01000196.1	NS229	GCF_001476215.1_ASM147621v1_genomic.fna.gz	Methylobacterium	indicum	SEED	C
156	NZLDRL01000023.1	NS228	GCF_001476615.1_ASM147661v1_genomic.fna.gz	Methylobacterium	indicum	SEED	C
157	NZSNZR01000011.1	DSM25903	GCF_004363955.1_ASM436395v1_genomic.fna.gz	Enterovirga	rhinocerotis	-	Enterovirga
158	NZJABEPP010000002.1	DB1703	NEW-blast	Enterovirga	sp.	-	Enterovirga
159	NZCABMGP010000006.1	MGYG-HGUT-02310	GCF_902385745.1_UHGG_MGYG-HGUT-02310_genomic.fna.gz	Microvirga	massiliensis	-	Microvirga
160	NZCAHM01000003.1	JC119	GCF_001050495.1_ASM105049v1_genomic.fna.gz	Microvirga	massiliensis	-	Microvirga
161	NZLN811355.1	JC119	GCF_001050495.1_ASM105049v1_genomic.fna.gz	Microvirga	massiliensis	-	Microvirga
162	NZQMKH01000014.1	c27j1	GCF_003290125.1_ASM329012v1_genomic.fna.gz	Microvirga	sp.	-	Microvirga
163	NZJAATJS010000010.1	c23x22	NEW-blast	Microvirga	sp.	-	Microvirga
164	NZVCMV01000055.1	CDVBN77	GCF_008757455.1_ASM875745v1_genomic.fna.gz	Microvirga	brassicacearum	-	Microvirga
165	NZQOIO01000087.1	DSM21344	GCF_003332305.1_ASM333230v1_genomic.fna.gz	Microvirga	aerophila	-	Microvirga
166	NZBJYU01000138.1	NBRC106136	GCF_007991675.1_ASM799167v1_genomic.fna.gz	Microvirga	aerophila	-	Microvirga
167	NZQQBB01000002.1	DSM14364	GCF_003350535.1_ASM335053v1_genomic.fna.gz	Microvirga	subterranea	-	Microvirga
168	NZJABMLM010000237.1	R24825	NEW-blast	Microvirga	sp.	-	Microvirga
169	NZCP045423.1	HR1	GCF_009363855.1_ASM936385v1_genomic.fna.gz	Microvirga	sp.	-	Microvirga
170	NZCP029481.1	17mud1-3	GCF_003151255.1_ASM315125v1_genomic.fna.gz	Microvirga	sp.	-	Microvirga
171	NZLCYG01000101.1	BR3299	GCF_001017175.1_ASM101717v1_genomic.fna.gz	Microvirga	vignae	-	Microvirga
172	NZQDAH01000080.1	KLBC81	GCF_003075415.1_ASM307541v1_genomic.fna.gz	Microvirga	sp.	-	Microvirga
173	NZFMVJ01000024.1	CGMCC1.7666	GCF_900102135.1_IMG-taxon_2596583582_annotated_assembly_genomic.fna.gz	Microvirga	guangxiensis	-	Microvirga
174	NZWURB01000001.1	KCTC23863	NEW-blast	Microvirga	makkahensis	-	Microvirga
175	NZSPJX01000306.1	NCCP-1258	GCF_004458765.1_ASM445876v1_genomic.fna.gz	Microvirga	pakistanensis	-	Microvirga
176	NZJAAAXJ010000010.1	SYSUG3D203	NEW-blast	Microvirga	sp.	-	Microvirga
177	NZJAAAXI010000012.1	SYSUG3D207	NEW-blast	Microvirga	sp.	-	Microvirga
178	NZCP016616.1	V5/3m	GCF_002741015.1_ASM274101v1_genomic.fna.gz	Microvirga	ossetica	-	Microvirga
179	NZJPUG01000061.1	BSC39	GCF_000739015.1_ASM73901v1_genomic.fna.gz	Microvirga	sp.	-	Microvirga
180	NZJACHWB010000003.1	AT3.9	NEW-blast	Microvirga	lupini	-	Microvirga
181	NZJAEA01000023.1	ATCCBAA-817	GCF_000518665.1_ASM51866v1_genomic.fna.gz	Microvirga	flocculans	-	Microvirga
182	NZJACIDC010000023.1	DSM15743	NEW-blast	Microvirga	flocculans	-	Microvirga
183	NZJH660645.1	WSM3557	GCF_000262405.1_ASM26240v1_genomic.fna.gz	Microvirga	lotononidis	-	Microvirga
184	NZJACDXJ010000001.1	Marseille-Q2068	NEW-blast	Microvirga	sp.	-	Microvirga
185	NZQDGA01000069.1	CCBAU65841	GCF_003347665.1_ASM334766v1_genomic.fna.gz	Microvirga	calopogonii	-	Microvirga
186	NZJABMLM010000247.1	R24845	NEW-blast	Microvirga	sp.	-	Microvirga
187	NZVOSK01000148.1	Lmie10	GCF_009296175.1_ASM929617v1_genomic.fna.gz	Microvirga	tunisiensis	-	Microvirga
188	NZVOSJ01000146.1	M8	GCF_009296195.1_ASM929619v1_genomic.fna.gz	Microvirga	tunisiensis	-	Microvirga
