"input" "filtered" "denoisedF" "denoisedR" "merged"
"CG44PispGatineau2" 46401 37978 37758 37773 26019
"CG45PispGatineau3" 69360 57816 57670 57635 51933
"CG46ABBAGatineautop" 65164 52223 52171 52104 50311
"CG47ABBAGatineauN" 45964 37569 37412 37435 27632
"CG48ABBAGatineauS" 45387 36793 36733 36728 32953
"CG49ABBAGatineauE" 57643 45494 45429 45396 44009
"CG50ABBAGatineauO" 40257 31002 30968 30964 29303
"CG51ACSAGatineautop" 48051 38307 38260 38250 36920
"CG52ACSAGatineauN" 22121 19053 19007 19013 16921
"CG53ACSAGatineauS" 26563 23403 23351 23348 21177
"CG54ACSAGatineauE" 33193 25731 25666 25673 22892
"CG55ACSAGatineauO" 44055 38017 37886 37859 30700
"CG56ACRUGatineautop" 32144 27210 27178 27136 24978
"CG57ACRUGatineauN" 28481 24107 24054 24075 21818
"CG58ACRUGatineauS" 28130 24655 24632 24615 23593
"CG59ACRUGatineauE" 26868 23548 23498 23506 21340
"CG60ACRUGatineauO" 24525 21089 21028 20985 18541
"CG61BEPAGatineautop" 38228 32841 32749 32785 29949
"CG62BEPAGatineauN" 26831 22871 22795 22789 20553
"CG63BEPAGatineauS" 25335 22369 22299 22290 20710
"CG64BEPAGatineauE" 16406 14200 14181 14156 12889
"CG65BEPAGatineauO" 22431 19195 19159 19158 17465
"CG66PispGatineautop" 29936 25400 25318 25299 19542
"CG67PispGatineauN" 158905 134458 133492 133803 100146
"CG68PispGatineauS" 108743 91248 90787 90718 68256
"CG69PispGatineauE" 87936 74664 74112 74403 54356
"CG70PispGatineauO" 62417 51447 51052 51225 36377
"CS36ACSASutton1" 143068 124233 124065 124002 117190
"CS37ACSASutton2" 130188 112104 111742 111652 104195
"CS38ACSASutton3" 130346 113903 113632 113696 110707
"CS39ACRUSutton1" 148099 129790 129453 129315 125956
"CS40ACRUSutton2" 117636 103586 103485 103435 102464
"CS41ACRUSutton3" 152684 128382 128193 128134 122539
"CS42BEPASutton1" 107820 94302 94240 94256 93813
"CS43BEPASutton2" 82198 70686 70618 70647 68999
"CS44BEPASutton3" 107019 90087 89921 89977 85970
"CS45PispSutton1" 58160 48922 48865 48801 43546
"CS46PispSutton2" 110107 91597 91404 91430 84469
"CS47PispSutton3" 122999 98557 98291 98322 84849
"CS48ABBASutton1" 80891 67122 67085 67066 63853
"CS49ABBASutton2" 67371 55758 55584 55637 47489
"CS50ABBASutton3" 53682 44340 44196 44199 36690
